TimeStep,ID,Latitude,Longitude,finished,level
1,2,43.0804907,-76.2200951,1,1
2,2,43.0809557,-76.2200951,1,1
3,2,43.0814207,-76.2200951,1,1
4,2,43.0818856,-76.2200951,1,1
5,2,43.0823506,-76.2200951,1,1
6,2,43.0828155,-76.2200951,1,1
7,2,43.0832805,-76.2200951,1,1
8,2,43.0837454,-76.2200951,1,1
9,2,43.0842104,-76.2200951,1,1
10,2,43.0846754,-76.2200951,1,1
11,2,43.0851403,-76.2200951,1,1
11,4,43.0189571,-76.2169724,1,1
12,2,43.0856053,-76.2200951,1,1
12,4,43.0193005,-76.2169724,1,1
13,2,43.0860702,-76.2200951,1,1
13,4,43.0196438,-76.2169724,1,1
14,2,43.0865352,-76.2200951,1,1
14,4,43.0199871,-76.2169724,1,1
15,2,43.0870001,-76.2200951,1,1
15,4,43.0203305,-76.2169724,1,1
16,2,43.0874651,-76.2200951,1,1
16,4,43.0206738,-76.2169724,1,1
17,2,43.0879301,-76.2200951,1,1
17,4,43.0210171,-76.2169724,1,1
18,2,43.088395,-76.2200951,1,1
18,4,43.0213605,-76.2169724,1,1
19,2,43.08886,-76.2200951,1,1
19,4,43.0217038,-76.2169724,1,1
20,2,43.0893249,-76.2200951,1,1
20,4,43.0220471,-76.2169724,1,1
21,2,43.0897899,-76.2200951,1,1
21,4,43.0223905,-76.2169724,1,1
21,6,43.0464306,-76.0186519,1,3
22,2,43.0902548,-76.2200951,1,1
22,4,43.0227338,-76.2169724,1,1
22,6,43.0468938,-76.0186519,1,3
23,2,43.0907198,-76.2200951,1,1
23,4,43.0230771,-76.2169724,1,1
23,6,43.0473569,-76.0186519,1,3
24,2,43.0911848,-76.2200951,1,1
24,4,43.0234205,-76.2169724,1,1
24,6,43.0478201,-76.0186519,1,3
25,2,43.0916497,-76.2200951,1,1
25,4,43.0237638,-76.2169724,1,1
25,6,43.0482833,-76.0186519,1,3
26,2,43.0921147,-76.2200951,1,1
26,4,43.0241072,-76.2169724,1,1
26,6,43.0487465,-76.0186519,1,3
27,2,43.0925796,-76.2200951,1,1
27,4,43.0244505,-76.2169724,1,1
